"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","","","","1","52","2017-08-30","zh-cn"
"919755217121316864","ailaiyi5","wuming11xia","","","","0","0","2017-10-16","zh-cn"
"747292706536226816","牛小牛","gurevadona88","","","","23949","52","2016-06-27","zh-cn"
"q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","","","","17","34","2016-08-08","es"
"907348345563303940","lishuishi","lishuishi","","","","0","0","2017-09-11","zh-tw"
"4057984825","前尘往事","baillopud5","California, USA","cool","","17116","76","2015-10-29","zh-tw"
"902780955181678592","George","sV8jxdXfJwDNZns","","","","0","39","2017-08-30","zh-cn"
"rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","","","","1","46","2017-08-18","ru"
"VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","","","","2","127","2018-07-13","en"
"EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","","","","12","64","2017-08-30","zh-cn"
"1124390982299136000","Delicia Venus","DeliciaVenus","","","","0","0","2019-05-03","en"
"898577922260430848","偌虹","RG4ax0bBuN19XZb","","","","0","34","2017-08-18","ru"
"884689848401047552","worldnewsnow","xinwenshijie","","","","23091","26","2017-07-11","zh-cn"
"QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","","","","1","8","2013-03-24","en"
"1081231923312295936","夜幕之光","Richard17700647","","","","0","0","2019-01-04","en"
"6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","","本推特只是追蹤郭文貴的新聞和動態， 謝謝關注。","","47","203","2013-03-29","zh-cn"
"1532024256","Christinz 🤦‍♀️ ‏","follfuncobers","UK","It is unacceptable that Toby got a backstory before Beth. Beth backstory better be flames. I’m not playing with you #ThisIsUs","","29208","200","2013-06-19","zh-cn"
"929960934877159424","阿狸粑粑","VeraSudzhenko","","","","0","18","2017-11-13","zh-cn"
"2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","Santa Monica, CA","h4s4g30g","","10","39","2019-01-25","zh-tw"
"1064610348","旁观的渊明","sabohc","","","","21148","26","2013-01-06","zh-cn"
"747319777203363840","清风","osipodincov3","","","","12607","39","2016-06-27","zh-cn"
"2968192342","AngelaFisher40","AngelaFisher40","Manhattan, NY","AngelaFisher40","","17816","21138","2015-01-08","en"
"898930436373708802","Evgenianaumoval","Evgenianaumoval","","","","0","20","2017-08-19","zh-cn"
"2527996152","Ljsh Hgs","hGvsgsa","Berrien Springs, MI","Ellina Seleznv","","12919","184","2014-05-27","en-gb"
"301501680","do2cvmxv","do2cvmxv","United States","属马人善于交际又富有大智慧，他们思维比较活跃，能够沿着理想之路不断奋进。属马人早前福德宫有煞星作犯，所以导致部分人的运势提升受阻。熬过8月，生肖马运势红得发紫，一帆风顺事业旺，接二连三喜事来！","","13986","14670","2011-05-19","zh-cn"
"JvumYq2ApxkjeGY7caKWXJ9XIUlwxFcsCEUIkpBn8Bg=","JvumYq2ApxkjeGY7caKWXJ9XIUlwxFcsCEUIkpBn8Bg=","JvumYq2ApxkjeGY7caKWXJ9XIUlwxFcsCEUIkpBn8Bg=","Delaware, USA","what an doing is study ,now i try to learn in computer","","3","10","2017-11-05","zh-cn"
"26795603","长街暗渡","camirtme","","camirtme","","13105","13540","2009-03-26","zh-cn"
"+tDWZynsin9nF3PNWStld8JMl7zNLFQP9hnKsFkpngk=","+tDWZynsin9nF3PNWStld8JMl7zNLFQP9hnKsFkpngk=","+tDWZynsin9nF3PNWStld8JMl7zNLFQP9hnKsFkpngk=","","","","21","70","2017-09-27","zh-cn"
"1298537538","Adriane Terwilliger","TerwilligernaeA","","","","0","0","2013-03-25","en"
"PgyTbaP5VxfSvhFfuUZbxtfNs06PFBGfJu18zPZp28=","PgyTbaP5VxfSvhFfuUZbxtfNs06PFBGfJu18zPZp28=","PgyTbaP5VxfSvhFfuUZbxtfNs06PFBGfJu18zPZp28=","","","","18","17","2017-06-03","zh-cn"
"902851241759436800","youerarou","3xrVKytdmflyeox","","","","58880","130","2017-08-30","zh-cn"
"1124196641060397056","Rossana Lewisswaffield","RossanaLewissw1","","","","0","0","2019-05-03","en"
"898510662346919938","titina","RBKIH1TnCqbyUVT","","","","0","43","2017-08-18","ru"
"898518806565355520","唧唧歪歪","jaxfpUMBe8HHUiM","","","","0","42","2017-08-18","ru"
"FG5FLDsNFjr5IXtvisxgwCn5wScYCNF8jcmgCyOVJA=","FG5FLDsNFjr5IXtvisxgwCn5wScYCNF8jcmgCyOVJA=","FG5FLDsNFjr5IXtvisxgwCn5wScYCNF8jcmgCyOVJA=","","","","1","46","2017-08-18","zh-cn"
"979832936118870016","Валентина Новикова","DE1NPj5LSXrvtJu","","","","11786","44","2018-03-30","ru"
"745790133274804225","The man from toilet","dgromovge","","Exam,Exam How to do","","51608","131","2016-06-23","zh-cn"
"0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","","","","1","36","2017-08-30","zh-cn"
"2991885448","花非花🌸","abimyk8qbor","Virginia, USA","adsense","","10985","6968","2015-01-22","zh-cn"
"902780366599094273","Martin","OoYmu466","","","","0","9","2017-08-30","zh-cn"
"akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","Brasil","","","2","14","2011-01-25","zh-cn"
"hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","","","","50","81","2017-08-19","zh-cn"
"910208672202182658","Лена Мухаметзянова","lenamukhametzi2","","","","0","0","2017-09-19","ru"
"928593319210442753","kingboss","08RI7yBfs3XkWjF","","","","0","5","2017-11-09","zh-cn"
"+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","","國家 名人新聞 新聞 科學 生活方式 電影 音樂 評論","","15","87","2016-08-09","zh-cn"
"BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","","","","2","4","2017-11-03","zh-cn"
"902819018276577280","珂珂","3TK8sUSVvf4mLkP","","","","0","26","2017-08-30","zh-cn"
"898579971421220864","凯凯","J0cbEiJedlt2vON","","","","0","37","2017-08-18","zh-cn"
"902799930334568452","Antonio","vac7UMBgK8ffwqD","","","","0","39","2017-08-30","zh-cn"
"114444282","ChristopherH195","ChristopherH195","Milwaukee, Wisconsin","","","45860","266","2010-02-15","zh-cn"
"924416938775805952","阿拉斯加皇后","zhoraromanov101","","","","0","0","2017-10-28","zh-cn"
"1127824249","CarriexWalker","CarriexWalker","Pennsylvania, USA","CarriexWalker","","64519","2918","2013-01-28","zh-cn"
"hiFXeznRBeo35O51z+eWAgC0whuMi21YKyiua3Sd+0=","hiFXeznRBeo35O51z+eWAgC0whuMi21YKyiua3Sd+0=","hiFXeznRBeo35O51z+eWAgC0whuMi21YKyiua3Sd+0=","","","","2","4","2018-07-13","zh-cn"
"902787450891849729","Matthew","XszWsTQq8V7wB59","","","","0","25","2017-08-30","zh-cn"
"FvIfuzwbsZw1C6AZXHEvRhNBkU3QjELgdT9tBkaJos=","FvIfuzwbsZw1C6AZXHEvRhNBkU3QjELgdT9tBkaJos=","FvIfuzwbsZw1C6AZXHEvRhNBkU3QjELgdT9tBkaJos=","","","","118","16","2017-08-10","zh-cn"
"898519397849071616","卡哇伊","y3mgS890HgBIUeJ","","","","0","31","2017-08-18","zh-cn"
"1913039600","karliss","karlissux","MA","karliss world","","12512","12715","2013-09-28","zh-cn"
"925424120568991744","透明 嗯","maratkorshunov2","","","","0","0","2017-10-31","zh-cn"
"sRlDWqT4huugt0gpTtXg6ev5TQH9Zv3dHS502buFzY=","sRlDWqT4huugt0gpTtXg6ev5TQH9Zv3dHS502buFzY=","sRlDWqT4huugt0gpTtXg6ev5TQH9Zv3dHS502buFzY=","","","","2","62","2017-10-16","zh-cn"
"944918822997413889","梧桐之恋C","sofsandalnova6","","","","0","34","2017-12-24","zh-cn"
"917104169466716160","雪域雄鹰","valentinovchar4","","1970年生，经历六四，现居中国","","16835","24","2017-10-08","zh-cn"
"uGlAuK3VrvANhAQAiFOJm1nbrXmFTwtmNRNE1g9Yd6k=","uGlAuK3VrvANhAQAiFOJm1nbrXmFTwtmNRNE1g9Yd6k=","uGlAuK3VrvANhAQAiFOJm1nbrXmFTwtmNRNE1g9Yd6k=","中华人民共和国","🥳","","1","15","2019-01-12","zh-cn"
"902779178180890626","James","HRiB831Jam","","","","0","5","2017-08-30","zh-cn"
"898519011440431108","大头爸爸","xK1gX8eiQMFwQ9w","","","","0","42","2017-08-18","zh-cn"
"902780191424077824","Vincent","AgkLEouMa","","","","0","8","2017-08-30","zh-cn"
"915717733777592320","沧海","KOW0QdnnkDfgvC7","","","","45976","119","2017-10-04","zh-cn"
"kdrlgclBJnrkyaVcGHEnDL9R3xIjEWYf8CzaOrpOOjc=","kdrlgclBJnrkyaVcGHEnDL9R3xIjEWYf8CzaOrpOOjc=","kdrlgclBJnrkyaVcGHEnDL9R3xIjEWYf8CzaOrpOOjc=","","","","1","62","2017-08-30","zh-cn"
"14sKta+ATygMbCyCTMAF6sGqsR+FfyuwR4HKPzE05K4=","14sKta+ATygMbCyCTMAF6sGqsR+FfyuwR4HKPzE05K4=","14sKta+ATygMbCyCTMAF6sGqsR+FfyuwR4HKPzE05K4=","","","","4","45","2017-08-30","zh-cn"
"103804719","摩天轮约炮平台微信xdmtlove765","ronetaper","USA","Ronetaper","","13268","61","2010-01-11","en"
"980598628778692608","Алина Ковалева","IXpu1furk0a20gR","","","","0","2","2018-04-02","zh-cn"
"222444384","Terrillz","terrillz48","PA","Terrillz world","","12033","10186","2010-12-03","en"
"769923511993458688","Gregcrios","gregcrios","Houston, TX","Gregcrios News","","20133","9","2016-08-28","en"
"HUiWPtVeu+s0Q2vLvDJHBRZYJZhNn2o9R245jUgz0=","HUiWPtVeu+s0Q2vLvDJHBRZYJZhNn2o9R245jUgz0=","HUiWPtVeu+s0Q2vLvDJHBRZYJZhNn2o9R245jUgz0=","","","","1","11","2017-08-29","zh-cn"
"1100698700085645313","记忆之城","espino90700","","","","0","0","2019-02-27","zh-cn"
"NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","Рязань, Россия","","","3","29","2016-11-07","ru"
"898510939628199936","jiji","NSyVNOCMkgQBjlr","","","","0","35","2017-08-18","ru"
"EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","","","","1","52","2017-08-18","ru"
"dBKYVP1Hsg1V73irhiy40dkvrMkLcQ9Jo3ckSQEfII=","dBKYVP1Hsg1V73irhiy40dkvrMkLcQ9Jo3ckSQEfII=","dBKYVP1Hsg1V73irhiy40dkvrMkLcQ9Jo3ckSQEfII=","","","","1","6","2017-11-01","zh-cn"
"412332494","我最牛","Tgsafsh","California, USA","jessamineyvwul","","13349","11523","2011-11-14","zh-cn"
"ZnH0My11Z3lkr7sc+DHPr21IsDk7EdJeLaESHwM08xA=","ZnH0My11Z3lkr7sc+DHPr21IsDk7EdJeLaESHwM08xA=","ZnH0My11Z3lkr7sc+DHPr21IsDk7EdJeLaESHwM08xA=","","","","1","32","2017-08-30","zh-cn"
"bF6Az7sj3D1jYDAYT8IqkBBeRtuTbUsIvjJVpXZ8hA=","bF6Az7sj3D1jYDAYT8IqkBBeRtuTbUsIvjJVpXZ8hA=","bF6Az7sj3D1jYDAYT8IqkBBeRtuTbUsIvjJVpXZ8hA=","","","","5","74","2017-09-19","zh-cn"
"4643302950","乾坤","eng095957913571","","","","25315","44","2015-12-24","zh-cn"
"2914062932","乱码小子","medigerkl","United States","😇🥰","","18900","11701","2014-11-29","zh-cn"
"944939752771465216","Bella","Oo7ONLY46N75q6q","","","","0","37","2017-12-24","zh-cn"
"898019248341106688","sivalevleha","sivalevleha","Las Vegas, NV","sivalevleha","","16779","15520","2017-08-17","en"
"923387595400167424","huawei3","wangxs616","","","","0","2","2017-10-26","zh-cn"
"nLj86Ivi1yr+Ya2hDSM8RF6O8PHm0ZQCq95ISEEFOYg=","nLj86Ivi1yr+Ya2hDSM8RF6O8PHm0ZQCq95ISEEFOYg=","nLj86Ivi1yr+Ya2hDSM8RF6O8PHm0ZQCq95ISEEFOYg=","","","","2","3","2012-07-18","es"
"5rkWhrqJuL40RVHl3UT05XeFZ0gvwholYoNT2ZM0vs=","5rkWhrqJuL40RVHl3UT05XeFZ0gvwholYoNT2ZM0vs=","5rkWhrqJuL40RVHl3UT05XeFZ0gvwholYoNT2ZM0vs=","","","","3","19","2013-02-26","zh-cn"
"741271887536394240","mari1lcaire","mari1lcaire","West Hollywood, CA","mari1lcaire","","49342","18953","2016-06-10","en"
"kzNDjx78Pk0WijtGVBbWfq8K+TpTxT2ijHsnFwzkbg=","kzNDjx78Pk0WijtGVBbWfq8K+TpTxT2ijHsnFwzkbg=","kzNDjx78Pk0WijtGVBbWfq8K+TpTxT2ijHsnFwzkbg=","","","","1","18","2017-08-30","zh-cn"
"902801051459481600","Atwood","NHTjuUR7Uq3FAx1","","","","0","39","2017-08-30","zh-cn"
"I9J6ADHmmZktVQVsjY8P0aUZwYWcB8cHYS8Izpz9ogE=","I9J6ADHmmZktVQVsjY8P0aUZwYWcB8cHYS8Izpz9ogE=","I9J6ADHmmZktVQVsjY8P0aUZwYWcB8cHYS8Izpz9ogE=","","","","2","42","2017-08-18","ru"
"898581615286386689","林夕","ZUanc3Ytke3lfuE","","","","0","46","2017-08-18","zh-cn"
"902799699723374592","William","nnJIcD3irnEm7pP","","","","0","27","2017-08-30","zh-cn"
"1071966574049816577","JennySmith7548","JSmith7548","Los Angeles, CA","Unapologetic coffee fanatic. Avid student. Web enthusiast. Wannabe foodaholic.","","0","0","2018-12-10","en"
"4889276451","珍生","routeggupuc1980","Los Angeles, CA","routeggupuc1980","","24461","72","2016-02-08","zh-cn"
"rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","","","","10","125","2017-11-01","zh-cn"
"uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","","","","1","2","2019-02-27","zh-cn"
"255993278","Kalebeters","kalebeters","Upper Darby, PA","Kalebeters Cute","","24712","14276","2011-02-22","zh-cn"
"81136659","nchdd","jdhdnchsdh","Cicero, IL","xuanjw8ireen","","11594","9658","2009-10-09","en"
"898518925180358656","安娜","JMhDH03YS9UtqDL","","","","0","18","2017-08-18","zh-cn"
"917692198870712320","米奇","ukw77567","los","《江城子》 苏轼
十年生死两茫茫，不思量，自难忘。
千里孤坟，无处话凄凉。 纵使相逢应不识，尘满面，鬓如霜。
夜来幽梦忽还乡，小轩窗，正梳妆。
相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。","","0","43","2017-10-10","zh-cn"
"3729773189","有点小帅杜兰特","melvavbrg","Michigan, USA","忠诚无二詹姆斯","","12303","124","2015-09-21","en"
"924268937088524288","神罗天征","lapteva5400","","","","0","0","2017-10-28","zh-cn"
"fMPA8G2z8yjkrEMdZkNSnRraECis1zX6tv2N7NcF7aY=","fMPA8G2z8yjkrEMdZkNSnRraECis1zX6tv2N7NcF7aY=","fMPA8G2z8yjkrEMdZkNSnRraECis1zX6tv2N7NcF7aY=","","","","21","31","2018-07-13","zh-cn"
"4249759479","林深见鹿","HcqcPapleyAshle","Москва","Резьба по дереву  #  .  канд-т#Воздухоплаватель","","0","0","2015-11-22","zh-cn"
"yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","华夏","","","1","8","2016-06-24","zh-cn"
"898517260033290240","吴海","2VB3DcLYobExE3v","","","","0","34","2017-08-18","zh-cn"
"mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","","","","4","105","2017-10-17","en"
"uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","","","","2","32","2017-10-18","zh-cn"
"898513062143119360","拉萨三普","c0ohKuNpqdVPSI1","","","","0","18","2017-08-18","zh-cn"
"930571812353712128","sanfeng","davidnelson7132","","","","0","0","2017-11-14","zh-cn"
"1295062716","Chelsea Butterfield","ButterfieldvsaC","","","","0","0","2013-03-24","en"
"4806517036","HelenEricksonx","HelenEricksonx","The Netherlands","HelenEricksonx","","40213","71","2016-01-14","zh-cn"
"xSK8D6Sy4Cgy8gm6gmDwrn8pYYCDH2WBlOP+yI+ZRXo=","xSK8D6Sy4Cgy8gm6gmDwrn8pYYCDH2WBlOP+yI+ZRXo=","xSK8D6Sy4Cgy8gm6gmDwrn8pYYCDH2WBlOP+yI+ZRXo=","","","","58","99","2017-10-29","zh-cn"
"2239517454","keva42nlatus","keva42nlatus","Florida, NY","keva42nlatus","","15033","1894","2013-12-10","zh-cn"
"1100697498765615105","余生相拥","deeb4687","","","","0","0","2019-02-27","zh-cn"
"1297715425","陳婷芳","PonceneqFelicit","United States","美食評論家","","0","6","2013-03-25","zh-cn"
"2169411427","薰衣草","tyatyanak76t","Cicero, IL","this is life","","17808","44","2013-11-02","zh-cn"
"PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","","","","7","22","2017-07-11","zh-cn"
"5btwb9oLRdYXdoPJROMTHql0RXOXwktUdl7Nqq75JA=","5btwb9oLRdYXdoPJROMTHql0RXOXwktUdl7Nqq75JA=","5btwb9oLRdYXdoPJROMTHql0RXOXwktUdl7Nqq75JA=","","","","2","42","2017-08-30","zh-cn"
"902818517053054976","龙三生","tz8HZ3MQZO54J6R","","","","0","38","2017-08-30","zh-cn"
"179047236","桃花林中说桃花","vezerullasav158","California, USA","Mooyoo","","19810","22417","2010-08-16","zh-cn"
"tYbR8qO5b5SoiMXN10Z4b8OQQKbOHuBoeWr1NMTktRw=","tYbR8qO5b5SoiMXN10Z4b8OQQKbOHuBoeWr1NMTktRw=","tYbR8qO5b5SoiMXN10Z4b8OQQKbOHuBoeWr1NMTktRw=","","","","184","21","2018-03-29","zh-cn"
"747351754723844096","穿的确良的国王","SemyonovaGera","","","","12401","11","2016-06-27","zh-cn"
"2329240622","小蓝鲸","kristinaeug5kor","Ashburn, VA","😃😉😉","","13468","351","2014-02-05","zh-cn"
"RDn9yqiyFNXz6JZPDsHItGZz5BCvQmhBcrD2oCmIUn0=","RDn9yqiyFNXz6JZPDsHItGZz5BCvQmhBcrD2oCmIUn0=","RDn9yqiyFNXz6JZPDsHItGZz5BCvQmhBcrD2oCmIUn0=","","","","650","73","2017-11-11","zh-cn"
"4689057336","Julie^.^Fox","JulieFo21740553","","","","0","0","2016-01-01","ru"
"898578084043132929","瑞星虹","5CXklZCdBDLB1Gb","","","","0","42","2017-08-18","ru"
"913787912461762560","钱二","Vs20pVbHe3Bgy1z","","","","0","0","2017-09-29","zh-cn"
"925366015772561408","dr jduhh","iuliakazantsev8","","","","0","0","2017-10-31","zh-cn"
"D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","","","","3","6","2017-11-01","zh-cn"
"1368044863","asdwyzkexa","asdwyzkexa","California, USA","asdwyzkexa","","41065","5500","2013-04-20","en"
"4190875581","shauntt","shaunta58sh","Niles, MI","shaunta58sh","","11817","170","2015-11-15","zh-cn"
"270363400","Resilceale","Resilceale","USA","Success Will","","11769","9191","2011-03-22","zh-cn"
"747323508741464065","John Green","cvetkovarmen83","","","","23786","3","2016-06-27","zh-cn"
"129707410","RekhBht","RekhBht","","","","11659","45","2010-04-05","zh-cn"
"902818258486784000","竹叶青","4KTtlFQntAbFo4m","","","","0","28","2017-08-30","zh-cn"
"4641907046","Karlie Kloss","na24896406206","中华人民共和国","","","12814","58","2015-12-24","zh-cn"
"898578819908546561","uhytgdk","i3H8h955othWXsZ","","","","0","52","2017-08-18","zh-cn"
"VZoQDPJYXCn7rPqUIn974OIdU3qsYM51Ob2XgHPCcg=","VZoQDPJYXCn7rPqUIn974OIdU3qsYM51Ob2XgHPCcg=","VZoQDPJYXCn7rPqUIn974OIdU3qsYM51Ob2XgHPCcg=","","","","12","22","2017-08-30","zh-cn"
"902799344235143168","Andrew","VL5P0yb7AJKsm6E","","","","0","42","2017-08-30","zh-cn"
"1707170310","jenpaorz","jenpaorz","United States","jenpaorz","","41547","139","2013-08-28","zh-cn"
"zmQvkBqcgfXDleKelOlh4XtIwSMPJttwQLRTXJ27Yg=","zmQvkBqcgfXDleKelOlh4XtIwSMPJttwQLRTXJ27Yg=","zmQvkBqcgfXDleKelOlh4XtIwSMPJttwQLRTXJ27Yg=","","","","1","39","2017-08-18","zh-cn"
"747311068913905666","bobyly","bobylevamaina","","","","63428","923","2016-06-27","zh-cn"
"53322799","hristopherHiax","ChristopherHiax","The Netherlands","hristopherHiax","","41522","62","2009-07-03","zh-cn"
"747319676749766656","Camilla","miheevadjemma","New York, USA","i love u，but i love me more💔","","12695","59","2016-06-27","zh-cn"
"761109495187513344","炫彩","SheldonxLill","Los Angeles, CA","Sheldon Lillian","","9954","12272","2016-08-04","zh-cn"
"911961710566739968","Римма Демина","RimmaDemina8888","","","","17800","273","2017-09-24","ru"
"1313956164","周建豪","Hildeqijvbtco","台北市, 台灣","我❤台湾，❤全世界的美食😋","","0","0","2013-03-29","zh-tw"
"902830524481363969","autormfic","oDrjiwIOmq09XaZ","","","","65063","203","2017-08-30","zh-cn"
