year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,41.518158,16.170189,40.176853,5.9668593,1.9889532,7.9558129,.99447662,13.922672,5.9668593,1.9889532,3.9779065,31.823252,7.9558129,1.3922672,5.9668593,33.812202,121.32614,10.740347,62.652027,29.834297,39.779064,9.944766,17.122898,22.713846,87.513939,34.806683,9.944766,2.7845345,1.9889532,1.5911626,87.513939,37.790112,9.944766,6.5635457,1.9889532
1989,35-44,72.656776,112.4753,210.23235,28.839821,4.1768017,13.922672,.99447662,19.889532,7.9558129,7.9558129,5.9668593,35.801159,19.889532,5.9668593,11.933719,168.46434,159.11626,15.911626,99.447662,31.823252,109.39243,14.320463,55.690689,60.265282,79.558128,69.613365,13.922672,5.9668593,1.9889532,1.9889532,77.569176,29.834297,13.266317,3.9779065,3.9779065
1989,45-54,76.808594,195.1163,279.8457,37.193424,5.6685166,17.900579,.99447662,19.889532,9.944766,23.867437,9.944766,19.889532,33.812202,7.9558129,26.850868,214.80695,169.06102,19.491741,124.30957,69.613365,105.41452,15.911626,91.491844,47.734875,51.712784,39.779064,13.922672,1.9889532,1.9889532,5.9668593,49.723831,41.768017,11.933719,7.9558129,4.5745921
1989,55-64,51.897697,195.25554,243.48766,52.329357,6.722662,29.834297,3.9779065,69.613365,39.779064,49.723831,9.944766,139.22673,47.734875,9.944766,35.801159,186.96159,149.17149,13.922672,99.447662,63.646503,213.81247,23.867437,85.524986,18.895056,39.779064,67.624405,7.9558129,3.9779065,1.9889532,5.9668593,39.779064,37.790112,9.944766,3.9779065,1.9690636
1989,65-74,33.214527,154.34277,168.66322,38.685139,6.8618884,39.779064,3.9779065,69.613365,49.723831,35.801159,3.9779065,95.469749,29.834297,15.911626,47.734875,125.60239,109.39243,9.944766,69.613365,29.834297,99.447662,25.856392,79.558128,9.944766,17.900579,27.845345,5.9668593,3.9779065,1.0939243,3.9779065,19.889532,13.922672,7.9558129,7.9558129,1.6906102
1989,75 or older,26.986803,144.29855,163.45218,58.17688,9.944766,57.679642,5.9668593,59.668594,49.723831,59.668594,3.9779065,63.646503,31.823252,19.889532,49.723831,103.42557,109.39243,7.9558129,97.45871,79.558128,177.01683,16.508312,75.580223,5.8674121,13.922672,11.933719,5.9668593,1.9889532,.39779064,9.944766,21.878485,.019889532,5.9668593,,3.9779065
1992,Less than 35,43.971836,16.607798,42.011112,6.7754092,2.324019,8.0446806,.71508276,17.877069,3.5754137,4.4692674,3.3966429,35.754139,8.0446806,1.7877069,6.0782032,31.1061,123.35178,10.601102,57.206619,45.407753,33.966431,7.1508274,14.301655,18.627905,91.17305,30.391016,8.1519432,2.1452482,1.6446903,2.5027895,91.17305,16.089361,8.7597637,5.8994327,1.6446903
1992,35-44,64.125595,79.9105,175.19527,18.020084,3.6111679,8.9385347,1.0726241,35.754139,7.1508274,31.999952,6.2569742,14.301655,16.268133,5.3631206,13.407802,147.37856,160.89362,13.586572,63.463593,53.631207,53.631207,14.301655,34.145203,64.357445,98.323875,48.268085,9.0279198,3.2178724,2.1452482,5.3631206,92.960754,17.877069,11.441324,4.8268085,1.7877069
1992,45-54,75.118553,139.97745,220.06671,35.754139,5.3631206,14.301655,1.4301655,71.508278,17.877069,26.815603,8.0446806,35.754139,50.055794,8.9385347,26.815603,168.75952,160.89362,15.159754,116.20094,44.692673,125.13948,25.921749,66.145157,48.804398,71.508278,60.782032,8.4022226,8.9385347,2.7709455,5.3631206,67.932861,25.027897,9.2960758,6.4357448,2.324019
1992,55-64,53.132633,203.44104,252.06667,51.843498,5.3631206,26.815603,1.7877069,89.385345,23.240189,44.692673,11.977636,71.508278,53.631207,8.9385347,44.692673,190.39078,151.95508,14.837967,89.385345,62.56974,124.4244,17.877069,76.871391,34.145203,53.631207,35.754139,8.0446806,7.1508274,1.7877069,5.3631206,50.055794,17.877069,9.4748459,13.05026,2.6815603
1992,65-74,31.146717,176.44667,191.01648,45.586525,6.7932858,35.754139,1.3407801,57.206619,26.815603,53.631207,4.1117258,57.206619,35.754139,12.513948,29.497164,141.05006,123.35178,8.9385347,80.446808,74.189835,105.02778,16.089361,78.659103,8.7597637,30.391016,30.391016,7.1508274,7.1508274,1.3586572,2.6815603,30.391016,28.916159,7.3832293,10.905012,3.3251348
1992,75 or older,23.818077,155.35173,160.14278,37.631229,7.1508274,42.904964,1.9664775,62.56974,44.692673,37.541843,3.3966429,35.754139,50.055794,8.9385347,44.692673,125.13948,125.13948,7.9552956,101.98868,33.072578,107.26241,11.620094,64.357445,4.2011113,50.055794,428.20941,5.5418911,1.7877069,.89385343,4.8268085,50.055794,57.206619,6.0782032,2.2167566,5.5418911
1995,Less than 35,42.738274,20.031788,53.201092,9.0977707,2.0031788,8.847373,.83465785,3.3386314,5.007947,9.1812363,5.8426046,7.5119205,10.015894,1.6693157,8.3465786,36.724945,126.86799,14.823524,51.331455,22.36883,23.370419,8.3465786,8.3465786,25.156588,103.49757,41.732891,11.852141,2.3370419,2.1701105,2.5039735,103.49757,10.850552,12.019073,6.6772628,1.6693157
1995,35-44,63.252647,86.971344,184.55954,22.702694,3.3386314,8.847373,1.6693157,18.362473,7.5119205,16.693157,8.847373,18.362473,24.372009,3.3386314,16.693157,160.57147,158.58499,17.861677,78.45784,33.386314,50.079472,16.693157,32.549988,62.182011,100.15894,50.079472,9.2647018,3.3386314,3.1716998,3.3386314,100.15894,16.693157,10.850552,5.3418102,2.7543709
1995,45-54,66.671707,154.74556,250.39735,44.754353,5.007947,20.031788,1.6693157,41.732891,16.693157,35.05563,13.020662,95.150993,46.740837,8.3465786,42.567551,189.28371,166.93156,21.534172,100.15894,33.386314,51.748787,16.693157,53.418102,65.10331,81.796471,50.079472,12.019073,10.015894,3.3386314,5.007947,81.796471,28.378366,12.519868,8.6804419,3.1716998
1995,55-64,56.414524,192.82265,267.92517,55.170883,5.1748786,23.370419,2.5039735,16.693157,31.716997,93.481674,8.847373,83.465782,53.418102,15.023841,51.748787,180.28609,145.23047,18.696335,91.812363,106.50234,83.465782,16.693157,75.119202,35.05563,61.764679,58.426048,8.3465786,5.6422868,2.1701105,6.6772628,61.764679,12.352936,10.68362,6.6772628,1.5023841
1995,65-74,32.481091,185.22726,208.99832,35.222561,5.3918896,33.386314,2.0031788,83.465782,33.386314,91.344955,8.3465786,58.426048,48.410156,15.023841,53.418102,157.91727,141.89183,13.688389,96.319511,70.945915,166.93156,25.039736,86.971344,11.73529,31.716997,55.087418,8.1796465,6.3433995,1.3354526,3.3386314,31.716997,23.370419,10.015894,8.1796465,1.8362472
1995,75 or older,27.352495,155.24635,161.08896,38.561192,8.3465786,21.701103,8.0127153,66.772629,30.047682,83.966576,8.3465786,108.50552,39.22892,50.079472,33.386314,131.87593,133.54526,8.8139868,46.740837,12.686799,50.079472,13.354526,83.465782,3.1716998,20.031788,13.354526,5.6756735,831.31921,.58426046,6.6772628,12.352936,48.410156,8.3465786,1.6693157,1.1685209
1998,Less than 35,43.040546,14.312438,45.516697,7.140491,2.3591931,3.9319882,.70775789,4.7183862,7.8639765,11.009567,4.2465472,33.028702,11.009567,1.5727954,11.009567,35.702454,132.11481,13.997878,66.843803,39.319885,47.183861,7.8639765,12.582363,30.11903,111.66847,58.979824,14.312438,1.5727954,2.3591931,2.6737521,111.66847,15.727953,12.896922,15.727953,1.8873544
1998,35-44,66.951958,99.872505,201.47508,36.017014,4.4667387,12.582363,1.1009568,87.132858,18.873545,22.066319,13.36876,39.319885,31.455906,3.9319882,31.455906,162.62704,158.85233,17.929867,70.775787,36.174294,88.076538,12.582363,34.601498,87.478874,110.09567,62.911812,12.110524,2.2019136,3.1455908,4.7183862,110.09567,15.727953,12.267803,7.8639765,3.4601498
1998,45-54,79.704712,166.13437,280.5867,58.696724,6.9202995,17.300749,1.5727954,50.014893,37.747089,47.183861,15.727953,62.911812,55.047836,9.4367723,59.766224,199.43045,188.73544,20.131781,115.60046,75.494179,78.639771,23.59193,55.047836,75.494179,105.37729,69.202995,15.727953,4.7183862,2.8310316,7.8639765,103.80449,20.446339,15.413394,9.4367723,3.6174293
1998,55-64,60.575584,201.16052,311.72803,72.034027,6.6057405,26.73752,2.3591931,157.27954,34.601498,91.22213,14.941556,102.2317,73.921379,15.727953,73.921379,200.5314,173.00749,21.169825,110.09567,84.930946,88.076538,39.319885,77.066971,54.10416,75.494179,64.484612,13.054201,7.706697,3.1455908,7.8639765,78.639771,25.164726,13.36876,11.324126,1.5885233
1998,65-74,38.258263,230.41452,258.0957,72.081207,8.8076544,31.455906,3.1455908,81.785355,78.639771,94.367722,13.36876,64.484612,59.766224,9.4367723,88.076538,172.69293,149.41556,17.300749,125.82362,70.775787,78.639771,12.582363,94.839561,18.873545,40.892677,88.076538,10.06589,39.319885,1.7300749,7.077579,42.465473,23.59193,10.695008,4.7183862,2.9883111
1998,75 or older,25.505508,197.85765,212.17009,58.193428,9.4367723,47.183861,7.8639765,29.725832,78.639771,92.794922,7.8639765,47.183861,47.183861,12.896922,94.367722,153.66211,133.68761,11.009567,161.99792,84.930946,62.911812,15.727953,86.503746,12.582363,33.028702,47.183861,13.997878,8304.3594,1.1009568,2.6737521,39.319885,18.873545,13.997878,21.232737,.62911814
2001,Less than 35,47.531174,16.897516,56.613903,8.9686823,2.5274065,5.7769289,.43326968,12.99809,8.2321234,12.99809,14.442323,57.769291,10.109626,1.877502,10.109626,43.326965,137.20206,16.175402,108.31742,48.092934,51.992359,14.442323,14.442323,36.105804,111.20588,75.100075,13.86463,.69323146,2.8884645,2.8884645,111.20588,18.775019,12.56482,11.842705,2.1663485
2001,35-44,74.267456,113.37223,228.04427,39.008713,4.9103894,8.6653938,1.4442322,18.775019,21.663483,24.551949,12.99809,72.211609,41.305042,2.8884645,41.377254,168.10863,180.52902,21.374638,101.09626,63.546219,122.75974,12.99809,41.882736,89.253555,115.53858,70.76738,15.886555,1.0109626,2.8884645,4.4771199,115.53858,23.107716,15.742131,12.99809,3.1773109
2001,45-54,78.723503,193.98927,306.32166,65.71257,6.6290259,17.330788,1.4442322,86.653931,21.663483,56.325058,15.886555,86.653931,69.323151,8.6653938,72.211609,204.93655,194.97136,22.530024,93.875099,86.653931,115.53858,14.442323,69.756416,78.10408,108.31742,48.381779,13.936841,7.6544309,3.2495224,7.2211614,108.31742,24.551949,13.43136,8.6653938,3.8561001
2001,55-64,65.355362,267.58734,329.42938,83.765472,7.9143925,27.440413,3.6105807,86.653931,57.769291,85.209702,14.442323,79.43277,79.43277,14.442323,116.98281,213.45752,187.7502,21.663483,129.9809,99.652023,104.70684,43.326965,86.653931,49.681587,79.43277,46.215431,13.142513,28.884645,2.7440412,7.2211614,85.209702,14.442323,11.842705,11.553858,4.6215429
2001,65-74,40.104427,257.07333,310.50992,77.743019,11.553858,28.884645,2.8884645,102.54049,122.75974,101.09626,12.56482,173.30786,86.653931,11.553858,217.0681,215.1906,186.30595,19.641558,209.41368,72.211609,95.319328,28.884645,88.531433,18.919443,56.325058,111.20588,10.109626,342.28305,1.4009053,3.6105807,62.101986,21.663483,12.853667,2.4551947,4.0438504
2001,75 or older,32.677681,225.80571,247.75804,61.379871,10.542895,36.105804,4.3326969,50.54813,86.653931,101.09626,10.109626,144.42322,69.323151,25.99618,158.86554,177.64056,161.75401,12.709244,115.53858,40.438503,115.53858,21.663483,105.42896,7.2211614,64.990448,60.657753,8.3765469,5.6325059,1.0542896,3.6105807,64.990448,18.775019,8.9542398,7.7988539,7.2211614
2004,Less than 35,44.553905,19.2507,52.830967,7.049552,2.4415851,5.4227324,.67784154,17.62388,6.6428471,10.981032,4.067049,6.7784152,14.912514,1.3556831,10.845465,43.924129,183.01721,14.912514,111.84385,74.562569,32.536392,6.7784152,20.335245,46.093224,144.65138,89.475082,16.268196,1.3556831,2.0335245,4.067049,136.92398,40.67049,13.285694,12.472284,2.0335245
2004,35-44,68.223167,94.152184,235.14322,25.62241,4.067049,13.55683,.67784154,13.55683,13.55683,21.555361,6.7784152,25.757978,37.959126,4.7448907,27.113661,205.25041,216.90929,21.148655,108.45464,56.938686,117.94443,13.55683,61.005737,118.21556,149.12514,105.74328,16.268196,2.5757978,3.3892076,5.4227324,149.12514,32.536392,14.912514,13.55683,6.1005735
2004,45-54,83.538574,196.70961,318.44995,54.498459,6.4815207,14.912514,1.3556831,40.67049,18.979563,67.784149,10.845465,58.294373,75.24041,6.7784152,67.784149,249.44568,230.46611,25.62241,122.01147,58.294373,107.09896,27.113661,88.1194,112.52169,131.50125,117.94443,16.268196,9.4897814,3.9314809,5.4227324,128.78989,27.113661,15.929276,9.3542128,3.9314809
2004,55-64,73.792404,341.63214,478.28497,105.97374,9.0830765,39.314808,3.3892076,108.45464,33.892075,101.67623,13.55683,88.1194,112.52169,9.4897814,96.253494,306.38437,271.1366,25.080135,183.01721,101.67623,193.86267,33.892075,127.4342,63.717102,112.52169,153.19218,17.62388,18.979563,2.9825027,7.429143,115.23306,29.825027,17.62388,12.201147,4.8804588
2004,65-74,45.250061,257.85092,316.0097,48.804588,7.4562569,27.113661,4.067049,54.227322,56.938686,81.340981,10.845465,81.340981,108.45464,13.55683,94.897812,218.40054,203.35246,16.674902,108.45464,105.74328,67.784149,40.67049,104.3876,33.892075,69.139832,135.5683,11.25217,5.4227324,2.9825027,6.7784152,77.273933,20.335245,12.336716,2.7113662,3.3892076
2004,75 or older,32.023121,221.11191,251.4792,52.464935,8.7577124,29.825027,6.7784152,399.92648,67.784149,81.340981,6.7784152,67.784149,40.67049,29.825027,115.23306,181.25482,169.46037,11.387737,203.35246,116.12524,67.784149,20.335245,104.3876,20.87752,42.026173,52.871639,9.0830765,61.005737,1.3556831,2.7113662,54.227322,20.335245,9.0830765,6.7784152,24.402294
2007,Less than 35,45.699036,14.454949,47.043392,8.3939924,2.863833,6.1720533,.86408752,1.2344108,3.703232,22.219393,3.4563501,18.516161,11.850343,1.851616,8.0236692,38.019852,216.02188,16.417662,104.92491,60.177521,43.204376,10.245609,22.219393,44.611603,166.64545,96.284035,18.516161,1.2344108,2.3453803,5.5548482,164.17662,29.625856,14.2451,16.047338,2.0984981
2007,35-44,69.81797,109.43051,274.40952,32.094677,4.2587171,6.1720533,1.2344108,11.973783,18.516161,27.157036,10.245609,29.625856,45.673195,9.8752861,30.860268,225.27995,253.0542,21.108423,185.16161,70.361412,72.830231,12.344107,62.954945,130.84753,158.00458,125.90989,17.28175,5.6782894,4.3204374,6.1720533,154.30135,24.688213,14.812928,16.047338,3.8266733
2007,45-54,78.703896,228.36722,377.6803,67.028503,6.1720533,18.516161,1.2344108,246.88214,22.219393,61.720535,12.344107,55.548481,77.767876,7.4064641,55.548481,277.98929,283.91446,22.960039,185.16161,98.752853,95.049622,18.516161,118.50343,118.41702,132.08194,101.22168,16.047338,7.4064641,4.4438787,5.5548482,129.61313,30.860268,14.812928,14.812928,4.8142018
2007,55-64,67.279137,313.16998,430.19214,90.976067,6.4189358,28.391447,2.3453803,111.96105,29.625856,138.254,12.344107,72.830231,123.44107,27.157036,96.284035,287.61771,259.22626,21.478746,203.67776,108.62814,123.44107,18.516161,124.67548,74.360901,104.92491,160.47339,13.578518,12.344107,4.4438787,7.4064641,111.09696,24.688213,13.578518,8.6408749,4.3204374
2007,65-74,48.237869,295.51791,373.9277,83.631325,9.3815212,28.391447,1.2344108,61.720535,49.376427,106.15932,12.344107,86.408752,95.049622,11.850343,69.128235,261.69507,246.88214,18.145838,187.63043,92.580803,370.32321,24.688213,139.4884,49.536903,85.174339,143.19164,13.578518,37.032322,3.703232,6.1720533,104.92491,18.516161,14.812928,22.219393,6.7645707
2007,75 or older,28.092213,263.17636,271.01486,51.228043,7.6533465,37.032322,24.688213,123.44107,49.376427,92.580803,6.1720533,123.44107,43.204376,19.750572,55.548481,193.5556,185.16161,11.60346,123.44107,135.78517,277.7424,16.047338,128.37871,16.047338,49.376427,61.720535,9.9987268,.61720538,.98752856,5.5548482,61.720535,30.860268,10.862814,24.688213,2.4688215
2010,Less than 35,40.721352,10.957713,42.204868,6.4803677,2.4154098,6.126893,.58912432,11.782487,6.3625426,10.015114,2.4743223,10.604239,12.489436,2.3564973,8.2477407,40.060455,164.95482,14.374634,85.423027,28.277967,35.347462,5.8912435,2.8749268,47.04747,141.38985,104.86414,16.495481,2.3564973,1.8851979,2.3564973,141.38985,17.673731,11.664662,15.317233,2.5567997
2010,35-44,63.477398,49.911793,184.25571,17.084606,2.8867092,8.2477407,1.0604239,11.782487,11.782487,48.308197,5.8912435,11.782487,36.525707,3.1812713,23.329325,168.37173,200.30228,19.558928,88.368652,58.912434,58.912434,11.782487,16.495481,127.25085,163.77657,100.15114,16.848955,2.9456217,4.1238704,5.1842942,160.24182,35.347462,12.960735,16.495481,4.7129946
2010,45-54,71.861206,138.03183,290.32047,39.706982,4.1238704,18.851978,.94259894,176.7373,35.347462,129.60736,11.782487,58.912434,70.694923,7.0694919,44.361061,224.92767,233.29324,21.561951,117.82487,58.912434,94.259895,20.030228,53.021191,108.39888,134.32034,131.96385,14.138984,7.0694919,4.1238704,5.8912435,131.96385,35.347462,11.546837,14.138984,3.8057432
2010,55-64,64.675087,210.55304,333.79785,65.628448,5.8912435,23.564974,1.4138985,294.56216,41.238705,129.60736,10.604239,76.586166,117.82487,11.782487,66.865616,242.83705,217.976,21.090651,194.41103,135.4986,117.82487,27.09972,69.51667,90.725151,114.29012,113.11187,12.960735,12.960735,3.2990963,7.0694919,111.93362,24.743221,11.075538,18.498505,5.3021193
2010,65-74,50.302845,243.50865,328.14224,53.25684,6.7160172,29.456217,4.7129946,117.82487,56.555935,135.4986,11.782487,106.04238,117.82487,17.673731,89.546898,234.58931,194.41103,18.851978,147.28108,70.694923,117.82487,40.060455,94.259895,52.549892,82.477409,147.28108,11.782487,9.5438147,2.5332346,7.0694919,93.081642,34.169212,11.664662,11.782487,4.7129946
2010,75 or older,33.535229,255.56213,279.83405,51.607292,8.4833908,38.882206,1.1782486,166.13306,53.021191,141.38985,8.2477407,96.616394,63.625427,20.030228,64.332375,197.71013,176.7373,12.253786,147.28108,73.640541,261.5712,29.456217,94.259895,35.347462,61.268932,87.190399,9.19034,176.7373,2.1208477,15.317233,68.338425,23.564974,11.782487,14.138984,3.7703958
2013,Less than 35,39.005379,11.48686,32.417984,6.3693871,2.4159744,4.3926806,.76871914,1.0981702,7.2479234,12.079872,2.7454255,14.276213,13.178042,2.1963403,7.8283062,24.159744,153.74384,13.727127,112.56245,49.41766,26.356085,4.9417658,5.600668,34.043278,131.78043,91.148125,19.767063,1.3178042,1.6472553,2.1963403,131.78043,7.6871915,12.079872,18.998344,3.1846936
2013,35-44,66.866364,51.668907,178.89192,22.402672,4.1730466,6.9184723,.76871914,82.362762,21.963404,52.71217,7.6871915,43.926807,46.891869,4.5024977,25.806999,149.0217,192.17978,18.449259,129.58409,53.810341,54.908508,17.570723,15.374383,105.97343,153.74384,109.81702,17.900175,4.3926806,2.7454255,4.3926806,153.74384,27.454254,13.507493,18.668894,3.6239617
2013,45-54,66.866364,115.69223,236.1066,34.921814,4.3926806,10.981702,1.0981702,99.933487,17.570723,58.203022,8.7853613,76.871918,95.54081,5.600668,48.319489,191.63071,197.67064,20.865234,109.81702,40.632298,102.12983,17.570723,32.945107,109.81702,132.8786,98.83532,15.813651,10.981702,2.8552425,5.4249606,131.78043,21.963404,13.178042,15.374383,4.3926806
2013,55-64,60.179726,181.98877,286.29297,57.818661,5.4908509,27.454254,1.3178042,110.91519,32.945107,157.03835,10.762068,109.81702,114.2097,6.5890212,65.890213,207.99344,203.16148,18.668894,164.72552,105.42434,120.79872,19.767063,57.763752,69.623993,112.01336,93.344467,14.276213,13.178042,3.2945106,5.4908509,117.50421,29.650595,13.178042,20.865234,3.4043276
2013,65-74,50.149773,254.8853,333.40448,79.068253,7.6871915,34.043278,3.2945106,214.14319,54.908508,170.21638,9.8835316,137.27127,163.62737,10.981702,128.92519,227.32123,192.17978,17.790358,148.25298,109.81702,109.81702,21.963404,69.184723,48.319489,88.95179,60.399361,11.201336,18.668894,2.5257914,6.1497531,95.54081,32.945107,10.981702,18.668894,4.3926806
2013,75 or older,31.204304,214.14319,238.30293,31.517485,7.6871915,24.159744,3.2945106,40.632298,83.460938,159.23468,8.7853613,120.79872,75.773743,15.374383,89.391052,168.34949,159.23468,11.530787,131.78043,60.399361,172.96181,10.981702,85.657272,21.963404,59.301189,65.890213,11.113482,54.908508,2.0865233,2.5257914,64.792046,17.570723,14.605663,5.4908509,3.5141447
2016,Less than 35,43.091602,11.699297,33.662067,6.4346132,2.7121098,4.2542896,.5317862,41.479324,5.317862,10.635724,3.1907172,53.178623,12.784141,1.5953586,8.1895075,25.84481,170.17159,14.890014,85.085793,13.294656,21.271448,7.9767933,10.635724,41.479324,126.56512,39.35218,22.335022,.63814348,1.4890014,2.1271448,127.23772,95.721519,13.826442,19.67609,2.658931
2016,35-44,70.023849,63.495274,169.1931,18.08073,4.0415754,8.1895075,.63814348,63.814346,12.762869,58.709198,6.3814344,23.398594,39.35218,5.317862,23.398594,153.15443,212.71449,20.633305,127.62869,34.034317,42.542896,5.8496485,23.185879,99.656738,148.90015,140.92334,21.824507,5.317862,2.658931,4.2542896,148.90015,26.589312,14.890014,21.377806,3.9352181
2016,45-54,74.333015,131.92552,255.07658,37.437748,4.3191676,10.635724,.85085797,416.92038,26.589312,106.35725,10.210296,74.450073,87.212936,6.487792,54.242195,194.63376,212.71449,20.314234,170.17159,106.35725,106.35725,12.762869,41.479324,95.721519,132.94655,90.403656,19.144304,5.317862,2.9780028,7.4450068,132.94655,43.606468,14.890014,21.271448,4.2542896
2016,55-64,64.637405,199.20712,305.68668,63.282558,5.7113838,21.271448,2.1271448,410.53897,47.86076,287.16455,15.953587,175.48946,127.62869,10.635724,85.085793,223.3502,212.71449,20.952377,212.71449,98.912239,106.35725,31.907173,70.195778,73.386497,102.10295,116.99297,14.783657,3.4247031,2.9780028,8.5085793,106.35725,22.335022,12.762869,19.144304,4.2542896
2016,65-74,53.541317,238.24022,310.39297,63.665447,8.5085793,26.589312,1.0635724,106.35725,58.496483,319.07172,10.210296,148.90015,134.22284,9.5721521,100.50759,213.03355,191.44304,19.144304,138.26442,53.178623,61.687202,21.271448,71.259354,44.244614,84.022224,102.10295,12.762869,1.276287,2.658931,5.317862,85.085793,42.542896,12.762869,18.08073,4.9987903
2016,75 or older,42.014313,281.58081,323.46429,67.217781,10.635724,42.542896,5.1051478,65.94149,74.450073,164.85373,7.9767933,106.35725,127.62869,15.953587,106.56996,212.71449,186.12518,14.145514,186.12518,127.62869,251.4498,21.271448,93.913445,22.228664,57.432911,106.35725,10.316652,15.953587,2.2335021,9.5721521,60.623631,29.780027,10.635724,4.1479325,4.5733614
2019,Less than 35,48.869659,14,40.700001,8.5,3.24,5,.75,3,2.5999999,11,2.8,12,13,1.5,7.3600001,27.299999,185,13,135,22,40,5,12.99,44.98,140,93,20,.89999998,1.9,2.5,140,12,12,22,2.9000001
2019,35-44,73.304489,91.105003,243.47,22.65,4.71,5,.60000002,5,20,50,6,75,60,3,31.6,207,250,19.9,170,60,51,8.6000004,36,128.02,176,110,22.5,2,2.7,7,173,22,15,21,4.5999999
2019,45-54,78.395081,168.8,286.29999,36.799999,6.4000001,11,.5,53,28,150,11,100,100,5,51.299999,228.2,250,23.1,173,81,81,25,64.120003,108,142,130,20.809999,2.5999999,3.2,5,145,30,14,25,6
2019,55-64,63.12331,213.14999,299.10001,46.900002,5.6220002,35,1.5,469,53,273,14,140,134,12,72.699997,231.3,230,18.5,180,90,150,40,68,61.5,110,163,14,1.7,3,6,122,29,13,24,3.5
2019,65-74,49.887775,266.07001,344.70001,54.299999,8,41,1,114,55,190,10,128,164,6.0999999,109.1,255.3,240,16.299999,140,80,155,15,92,40,89,119,14,3.5,2.8499999,6,97,22,14,14,2.6500001
2019,75 or older,43.728165,254.89999,310.29999,53,9.3000002,35,.89999998,121,50,120,10,125,83,10,84,211,200,13.5,145,75,80,20,96,29,82,78,9.8000002,11,2.7,8.6999998,98,24,11,13,4.0999999
